Type,File name,Nodes count, ,1 parent,2 parents,3 parents,More than 3,,% 1 parent,% 2 parents,% 3 parents,% More than 3
large,git.kubernetes.tdag,264161,,177235,86921,0,0,,67.0936,32.9046,0.0000,0.0000
large,git.llvm-project.tdag,1145746,,774071,371638,15,16,,67.5604,32.4363,0.0013,0.0014
large,git.node.tdag,217316,,202528,14771,0,0,,93.1952,6.7970,0.0000,0.0000
large,git.pandas.tdag,196546,,156444,40096,0,0,,79.5966,20.4003,0.0000,0.0000
large,git.pytorch.tdag,833027,,572738,259963,0,0,,68.7538,31.2070,0.0000,0.0000
large,git.rails.tdag,152557,,112514,40033,0,0,,73.7521,26.2413,0.0000,0.0000
large,git.react-native.tdag,112782,,100319,12456,0,0,,88.9495,11.0443,0.0000,0.0000
large,git.roslyn.tdag,193622,,145639,47977,2,0,,75.2182,24.7787,0.0010,0.0000
large,git.ruby.tdag,167518,,164449,3066,0,0,,98.1680,1.8303,0.0000,0.0000
large,git.runtime.tdag,501413,,424036,77279,35,2,,84.5682,15.4122,0.0070,0.0004
large,git.rust.tdag,454658,,296205,158319,94,16,,65.1490,34.8216,0.0207,0.0035
large,git.scikit-learn.tdag,164426,,141004,23417,0,0,,85.7553,14.2417,0.0000,0.0000
large,git.shardingsphere.tdag,105913,,97764,8137,0,0,,92.3059,7.6827,0.0000,0.0000
large,git.spark.tdag,332366,,288231,44127,1,0,,86.7210,13.2766,0.0003,0.0000
large,git.swift.tdag,265418,,176383,89032,0,1,,66.4548,33.5441,0.0000,0.0004
large,git.symfony.tdag,131646,,81920,49721,0,0,,62.2275,37.7687,0.0000,0.0000
large,git.tensorflow.tdag,261788,,232739,29044,0,0,,88.9036,11.0945,0.0000,0.0000
large,git.vscode.tdag,232068,,203107,28957,1,0,,87.5205,12.4778,0.0004,0.0000
